base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,timezone,visibility,weather,wind
stations,{'all': 75},200,"{'lon': -70.25, 'lat': 43.66}",1562252815.0,4975802.0,"{'temp': 302.05, 'pressure': 1018, 'humidity': 45, 'temp_min': 299.82, 'temp_max': 304.26}",,Portland,,,"{'type': 1, 'id': 5454, 'message': 0.01, 'country': 'US', 'sunrise': 1562231083, 'sunset': 1562286341}",-14400.0,16093.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 2.07, 'deg': 259.901}"
stations,{'all': 90},200,"{'lon': -52.73, 'lat': 47.66}",1562253014.0,6167817.0,"{'temp': 283.96, 'pressure': 1010, 'humidity': 87, 'temp_min': 282.59, 'temp_max': 285.93}",,Torbay,,,"{'type': 1, 'id': 998, 'message': 0.0072, 'country': 'CA', 'sunrise': 1562225917, 'sunset': 1562283096}",-9000.0,24140.0,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]","{'speed': 3.6, 'deg': 350}"
stations,{'all': 100},200,"{'lon': 172.79, 'lat': 3.07}",1562253014.0,2110227.0,"{'temp': 301.739, 'pressure': 1007.66, 'humidity': 70, 'temp_min': 301.739, 'temp_max': 301.739, 'sea_level': 1007.66, 'grnd_level': 1007.68}",,Butaritari,,,"{'message': 0.0409, 'country': 'KI', 'sunrise': 1562264658, 'sunset': 1562308913}",43200.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 2.29, 'deg': 4.82}"
stations,{'all': 75},200,"{'lon': 57.7, 'lat': -20.41}",1562253015.0,934322.0,"{'temp': 294.89, 'pressure': 1019, 'humidity': 73, 'temp_min': 293.71, 'temp_max': 296.15}",,Mahebourg,,,"{'type': 1, 'id': 2061, 'message': 0.007, 'country': 'MU', 'sunrise': 1562208339, 'sunset': 1562247662}",14400.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 3.1, 'deg': 170}"
stations,{'all': 40},200,"{'lon': -73.76, 'lat': -42.48}",1562253015.0,3896218.0,"{'temp': 276.15, 'pressure': 1026, 'humidity': 100, 'temp_min': 276.15, 'temp_max': 276.15}",,Castro,,,"{'type': 1, 'id': 8512, 'message': 0.0074, 'country': 'CL', 'sunrise': 1562243095, 'sunset': 1562276014}",-14400.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 1.5, 'deg': 190}"
stations,{'all': 75},200,"{'lon': -133.03, 'lat': 69.44}",1562252782.0,6170031.0,"{'temp': 286.15, 'pressure': 1015, 'humidity': 87, 'temp_min': 286.15, 'temp_max': 286.15}",,Tuktoyaktuk,,,"{'type': 1, 'id': 942, 'message': 0.0071, 'country': 'CA', 'sunrise': 0, 'sunset': 0}",-21600.0,24140.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 6.2, 'deg': 280, 'gust': 9.3}"
stations,{'all': 75},200,"{'lon': -35.74, 'lat': -9.67}",1562252953.0,3395981.0,"{'temp': 302.15, 'pressure': 1015, 'humidity': 66, 'temp_min': 302.15, 'temp_max': 302.15}",,Maceio,,,"{'type': 1, 'id': 8413, 'message': 0.0078, 'country': 'BR', 'sunrise': 1562229599, 'sunset': 1562271258}",-10800.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 3.1, 'deg': 110}"
stations,{'all': 98},200,"{'lon': 81.82, 'lat': 7.42}",1562253015.0,1242110.0,"{'temp': 301.739, 'pressure': 1009.37, 'humidity': 62, 'temp_min': 301.739, 'temp_max': 301.739, 'sea_level': 1009.37, 'grnd_level': 998.29}",,Kalmunai,,,"{'message': 0.0066, 'country': 'LK', 'sunrise': 1562199635, 'sunset': 1562244787}",19800.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 1.39, 'deg': 117.925}"
stations,{'all': 75},200,"{'lon': -69.3, 'lat': 18.46}",1562252981.0,3493032.0,"{'temp': 302.14, 'pressure': 1016, 'humidity': 74, 'temp_min': 300.37, 'temp_max': 303.15}",,San Pedro de Macoris,,,"{'type': 1, 'id': 7077, 'message': 0.0116, 'country': 'DO', 'sunrise': 1562234709, 'sunset': 1562282258}",-14400.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 3.1, 'deg': 110}"
stations,{'all': 40},200,"{'lon': 147.33, 'lat': -42.88}",1562253015.0,2163355.0,"{'temp': 277.4, 'pressure': 1041, 'humidity': 93, 'temp_min': 275.93, 'temp_max': 278.71}",,Hobart,,,"{'type': 1, 'id': 9545, 'message': 0.0098, 'country': 'AU', 'sunrise': 1562276506, 'sunset': 1562309287}",36000.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 3.1, 'deg': 330}"
stations,{'all': 75},200,"{'lon': -67.58, 'lat': -39.03}",1562252876.0,3855065.0,"{'temp': 277.15, 'pressure': 1025, 'humidity': 86, 'temp_min': 277.15, 'temp_max': 277.15}",,General Roca,,,"{'type': 1, 'id': 8310, 'message': 0.0072, 'country': 'AR', 'sunrise': 1562240978, 'sunset': 1562275164}",-10800.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 1, 'deg': 90}"
